seq_beneficiario;dt_inicio_direito;des_categoria;desc_entidade;val_redutor_teto;municipio;uf;dt_requerimento;dt_doc_completa;dt_deferimento;mes_deferimento;dias_uteis_concessao;;;;;;
189089;05/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;1518;VARGINHA;MG;20/12/2024;06/01/2025;10/01/2025;Janeiro;5;;;;;;
189091;19/03/2022;CONJUGE;SECRETARIA DA EDUCACAO;1518;CARAI;MG;31/03/2022;09/01/2025;10/01/2025;Janeiro;2;;;;;;
189092;12/10/2024;CONJUGE;SECRETARIA DE EDUCACAO;1518;JANAUBA;MG;06/01/2024;09/01/2025;10/01/2025;Janeiro;2;;;;;;
189093;26/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;2757,7;LAGOA DA PRATA;MG;07/01/2025;10/01/2025;13/01/2025;Janeiro;2;;;;;;
189094;14/11/2024;CONJUGE;SEC DE PLANEJAMENTO E GESTAO;3038,92;CONTAGEM;MG;06/01/2025;10/01/2025;10/01/2025;Janeiro;1;;;;;;
189096;13/04/2023;COMPANHEIRO(A);SECRETARIA DA EDUCACAO;1518;CAMBUI;MG;13/04/2023;13/04/2023;10/01/2025;Janeiro;457;;;;;;
189097;14/10/2024;CONJUGE;SECRETARIA DE SAUDE;1518;ARAPUTANGA;MT;08/01/2025;10/01/2025;13/01/2025;Janeiro;2;;;;;;
189098;15/09/2024;CONJUGE;SECRETARIA DE EDUCACAO;2728,73;SETE LAGOAS;MG;31/10/2024;10/01/2025;14/01/2025;Janeiro;3;;;;;;
189099;17/01/2025;FILHO(A);SECRETARIA DE ESTADO DE EDUCACAO;1518;BRAZOPOLIS;MG;12/11/2024;21/10/2024;17/01/2025;Janeiro;65;;;;;;
189100;24/06/2024;COMPANHEIRO(A);SECRETARIA DE EDUCACAO;2111,85;CONTAGEM;MG;24/06/2024;08/01/2025;16/01/2025;Janeiro;7;;;;;;
189101;26/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;1958,11;SAO FRANCISCO DO GLORIA;MG;20/12/2024;08/01/2025;13/01/2025;Janeiro;4;;;;;;
189104;18/08/2023;COMPANHEIRO(A);SECRETARIA DA EDUCACAO;2579,78;ARAGUARI;MG;28/09/2023;08/01/2025;13/01/2025;Janeiro;4;;;;;;
189105;30/11/2024;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;31055,49;UBA;MG;09/01/2025;13/01/2025;14/01/2025;Janeiro;2;;;;;;
189106;09/12/2024;COMPANHEIRO(A);SECRETARIA DE EDUCACAO;4395,52;RIO CASCA;MG;09/12/2024;10/01/2025;13/01/2025;Janeiro;2;;;;;;
189108;01/12/2024;CONJUGE;SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS;3292,65;BELO HORIZONTE;MG;02/01/2025;14/01/2025;14/01/2025;Janeiro;1;;;;;;
189111;31/10/2024;CONJUGE;SECRETARIA DE EDUCACAO;4032,75;SANTA CRUZ DE SALINAS;MG;19/12/2024;02/01/2025;14/01/2025;Janeiro;9;;;;;;
189112;16/11/2024;CONJUGE;SECRETARIA DE JUSTICA E SEGURANCA PUBLICA;3178,1;RIBEIRAO DAS NEVES;MG;12/12/2024;13/01/2025;14/01/2025;Janeiro;2;;;;;;
189113;23/11/2024;CONJUGE;SECRETARIA DE EDUCACAO;3897,22;PAULA CANDIDO;MG;10/01/2025;13/01/2025;17/01/2025;Janeiro;5;;;;;;
189114;19/12/2024;CONJUGE;SECRETARIA DE EDUCACAO;4750,87;CAMANDUCAIA;MG;09/01/2025;27/01/2025;27/01/2025;Janeiro;1;;;;;;
189115;16/12/2024;CONJUGE;SECRETARIA DE ESTADO DE EDUCACAO;5838,21;PATROCINIO;MG;06/01/2025;14/01/2025;15/01/2025;Janeiro;2;;;;;;
189116;24/12/2024;CONJUGE;SECRETARIA DE ESTADO DE SAUDE;3495,47;CONSELHEIRO LAFAIETE;MG;09/01/2025;13/01/2025;14/01/2025;Janeiro;2;;;;;;
